,ID,N_VICTIMAS,FECHA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,VICTIMA,ACUSADO
0,2016-0001,1,2016-01-01,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO
1,2016-0002,1,2016-01-02,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2,2016-0003,1,2016-01-03,7,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO
3,2016-0004,1,2016-01-10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,MOTO,SD
4,2016-0005,1,2016-01-21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-58.38718297,-34.6224663,MOTO,PASAJEROS
5,2016-0008,1,2016-01-24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
6,2016-0009,1,2016-01-24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.6082544,MOTO,AUTO
7,2016-0010,1,2016-01-29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO
8,2016-0012,1,2016-02-08,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CARGAS
9,2016-0013,1,2016-02-10,11,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO
10,2016-0015,1,2016-02-14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.4376002,-34.59912758,PEATON,AUTO
11,2016-0016,1,2016-02-14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO
12,2016-0017,1,2016-02-15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO
13,2016-0019,1,2016-02-17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-58.50990884,-34.65468721,PEATON,PASAJEROS
14,2016-0020,1,2016-02-17,16,SUIPACHA 156,CALLE,1,-58.37952223,-34.60653282,PEATON,AUTO
15,2016-0021,1,2016-02-17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-58.45157703,-34.63063795,AUTO,AUTO
16,2016-0022,1,2016-02-21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-58.38144696,-34.61079875,MOTO,AUTO
17,2016-0025,1,2016-02-28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,AUTO
18,2016-0026,1,2016-02-28,7,HOLMBERG Y VEDIA,CALLE,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO
19,2016-0027,1,2016-02-28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,-58.44497874,-34.63852623,AUTO,AUTO
20,2016-0028,1,2016-03-02,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,-58.38199706,-34.60028648,PEATON,CARGAS
21,2016-0029,1,2016-03-04,17,AV CABILDO Y DEHEZA,AVENIDA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS
22,2016-0031,1,2016-03-08,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,8,-58.47064556,-34.69843756,MOTO,PASAJEROS
23,2016-0034,1,2016-03-12,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,PEATON,PASAJEROS
24,2016-0035,1,2016-03-13,6,AV CORRIENTES Y AV CALLAO,AVENIDA,3,-58.39228965,-34.60443527,MOTO,PASAJEROS
25,2016-0036,1,2016-03-14,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS
26,2016-0037,1,2016-03-19,11,AV. EVA PERON Y QUIRNO,AVENIDA,7,-58.46275892,-34.64358293,MOTO,MOTO
27,2016-0038,1,2016-03-21,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,8,-58.49683458,-34.67892743,PEATON,PASAJEROS
28,2016-0039,1,2016-03-23,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,-58.40603217,-34.6088396,MOTO,PASAJEROS
29,2016-0041,2,2016-03-29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,MOTO,CARGAS
30,2016-0043,1,2016-03-30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,-58.47832463,-34.67494416,PEATON,CARGAS
31,2016-0044,1,2016-03-31,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,-58.43213235,-34.63693953,MOTO,MULTIPLE
32,2016-0045,1,2016-04-11,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,SD
33,2016-0047,1,2016-04-15,5,LIMA 1483,CALLE,1,-58.38247061,-34.62571878,PEATON,PASAJEROS
34,2016-0048,1,2016-04-15,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,-58.44759966,-34.5917024,PEATON,PASAJEROS
35,2016-0049,1,2016-04-17,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,4,-58.37714647568196,-34.63657525428238,SD,SD
36,2016-0050,1,2016-04-19,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47305463,-34.68550712,PEATON,PASAJEROS
37,2016-0051,1,2016-04-20,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,MOTO,CARGAS
39,2016-0053,1,2016-04-22,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,-58.4842918,-34.57558053,PEATON,PASAJEROS
40,2016-0054,1,2016-04-23,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,MOTO
41,2016-0055,1,2016-04-25,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,-58.40021959,-34.57964781,PEATON,CARGAS
42,2016-0056,1,2016-04-26,4,AV LUIS MARIA CAMPOS 30,AVENIDA,14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO
43,2016-0058,1,2016-05-04,14,LIMA 1471,CALLE,1,-58.38247542,-34.62556293,PEATON,MOTO
44,2016-0059,1,2016-05-08,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,-58.38222219,-34.62728101,PEATON,PASAJEROS
45,2016-0064,1,2016-05-14,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,-58.49485242,-34.62953445,PEATON,PASAJEROS
46,2016-0065,1,2016-05-20,14,AV GAONA Y ESPINOSA,AVENIDA,6,-58.45227946,-34.61068024,PEATON,AUTO
47,2016-0067,1,2016-05-21,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,-58.48455411,-34.6751276,MOTO,PASAJEROS
48,2016-0068,1,2016-05-22,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,-58.39056593,-34.58418569,MOTO,PASAJEROS
49,2016-0069,1,2016-05-23,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,-58.39118948,-34.62704273,AUTO,CARGAS
50,2016-0073,1,2016-06-11,15,MAGARIÑOS CERVANTES 3900,CALLE,10,-58.49021952,-34.62025108,MOTO,CARGAS
51,2016-0074,1,2016-06-12,6,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO,AUTO
52,2016-0075,1,2016-06-12,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,-58.47461076,-34.66874679,PEATON,AUTO
53,2016-0076,1,2016-06-13,16,AV SAN MARTIN Y CAMARONES,AVENIDA,15,-58.46210891,-34.60356211,PEATON,PASAJEROS
54,2016-0077,1,2016-06-13,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,1,-58.3702777,-34.60536123,PEATON,PASAJEROS
55,2016-0078,1,2016-06-13,23,AV BELGRANO Y AV JUJUY,AVENIDA,3,-58.40491455,-34.6146383,MOTO,MOTO
56,2016-0079,1,2016-06-16,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,13,-58.45504154,-34.54864492,AUTO,AUTO
57,2016-0080,1,2016-06-18,6,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,9,-58.52927982,-34.63931752,AUTO,SD
58,2016-0081,1,2016-06-22,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,12,-58.4872106,-34.55904606,MOTO,AUTO
