,id,n_victimas,fecha,hora,comuna,longitud,latitud,victima,gravedad
0,LC-2019-0000179,1,2019-01-01,9,14,-58.408911,-34.559658,ciclista,LEVE
1,LC-2019-0000053,1,2019-01-01,1,8,-58.44351,-34.669125,auto,LEVE
2,LC-2019-0000063,1,2019-01-01,2,8,-58.468335,-34.677556,moto,LEVE
3,LC-2019-0000079,1,2019-01-01,2,7,-58.437425,-34.647349,moto,LEVE
4,LC-2019-0000082,4,2019-01-01,4,3,-58.398225,-34.604579,transporte_publico,LEVE
5,LC-2019-0000136,2,2019-01-01,8,15,-58.439392,-34.588108,moto,LEVE
6,LC-2019-0000142,1,2019-01-01,7,11,-58.519116,-34.589282,moto,LEVE
7,LC-2019-0000194,1,2019-01-01,7,9,-58.528413,-34.650156,auto,LEVE
8,LC-2019-0000202,1,2019-01-01,9,1,-58.371488,-34.598416,moto,LEVE
9,LC-2019-0000329,1,2019-01-01,12,4,-58.404748,-34.648387,auto,LEVE
10,LC-2019-0000347,1,2019-01-01,12,7,-58.442125,-34.649498,auto,LEVE
11,LC-2019-0000445,3,2019-01-01,13,11,-58.524662,-34.603255,auto,LEVE
12,LC-2019-0000493,1,2019-01-01,13,4,-58.376137,-34.651461,transporte_publico,LEVE
13,LC-2019-0000600,1,2019-01-01,19,1,-58.374154,-34.591108,transporte_publico,LEVE
14,LC-2019-0000636,1,2019-01-01,18,9,-58.505709,-34.654463,moto,LEVE
15,LC-2019-0000647,1,2019-01-01,18,12,-58.490436,-34.583403,moto,LEVE
16,LC-2019-0000686,1,2019-01-01,21,9,-58.512313,-34.661307,moto,LEVE
17,LC-2019-0005235,1,2019-01-01,3,2,-58.399038,-34.598285,moto,LEVE
18,LC-2019-0002218,1,2019-01-02,15,1,-58.373748,-34.604635,ciclista,LEVE
19,LC-2019-0000928,1,2019-01-02,7,5,,,moto,LEVE
20,LC-2019-0000963,5,2019-01-02,8,6,-58.447266,-34.622984,transporte_publico,LEVE
21,LC-2019-0001754,1,2019-01-02,12,5,-58.415098,-34.620858,moto,LEVE
22,LC-2019-0001879,1,2019-01-02,13,1,-58.37226,-34.596132,moto,LEVE
23,LC-2019-0001948,1,2019-01-02,12,14,-58.448666,-34.567927,transporte_publico,LEVE
24,LC-2019-0001987,1,2019-01-02,13,13,-58.468124,-34.552719,moto,LEVE
25,LC-2019-0001992,1,2019-01-02,14,1,-58.37226,-34.596132,moto,LEVE
26,LC-2019-0002083,1,2019-01-02,5,13,-58.474535,-34.53838,moto,LEVE
27,LC-2019-0002208,1,2019-01-02,15,4,-58.398009,-34.638178,moto,LEVE
28,LC-2019-0002740,1,2019-01-02,17,8,-58.464704,-34.690814,moto,LEVE
29,LC-2019-0003220,2,2019-01-02,19,3,-58.39338,-34.609275,moto,LEVE
30,LC-2019-0003340,1,2019-01-02,23,1,-58.370261,-34.606522,moto,LEVE
31,LC-2019-0005610,1,2019-01-02,7,1,-58.373281,-34.590127,auto,LEVE
32,LC-2019-0020183,1,2019-01-02,15,11,-58.461782,-34.612442,moto,LEVE
33,LC-2019-0022496,1,2019-01-02,10,4,,,moto,LEVE
34,LC-2019-0003428,1,2019-01-03,2,1,-58.370261,-34.606522,moto,LEVE
35,LC-2019-0003432,1,2019-01-03,2,4,-58.370256,-34.633619,moto,LEVE
36,LC-2019-0003642,1,2019-01-03,8,4,-58.389014,-34.651172,moto,LEVE
37,LC-2019-0003787,1,2019-01-03,16,10,-58.516946,-34.620214,moto,LEVE
38,LC-2019-0003862,2,2019-01-03,9,14,-58.420172,-34.587788,moto,LEVE
39,LC-2019-0003884,1,2019-01-03,9,1,-58.374037,-34.624434,moto,LEVE
40,LC-2019-0004144,1,2019-01-03,11,13,-58.458802,-34.572009,moto,LEVE
41,LC-2019-0004229,1,2019-01-03,12,2,-58.409433,-34.598087,transporte_publico,LEVE
42,LC-2019-0004442,2,2019-01-03,11,12,-58.471429,-34.560095,moto,LEVE
43,LC-2019-0004565,1,2019-01-03,13,10,-58.502861,-34.634383,moto,LEVE
44,LC-2019-0004621,1,2019-01-03,13,3,-58.402885,-34.61544,moto,LEVE
45,LC-2019-0004622,1,2019-01-03,14,12,-58.49491,-34.547957,auto,LEVE
46,LC-2019-0004652,1,2019-01-03,14,15,-58.455131,-34.605272,moto,LEVE
47,LC-2019-0004717,1,2019-01-03,12,12,-58.480138,-34.556424,moto,LEVE
48,LC-2019-0004718,1,2019-01-03,12,4,-58.403486,-34.648017,camion,LEVE
49,LC-2019-0005334,1,2019-01-03,16,9,-58.514805,-34.66058,moto,LEVE
50,LC-2019-0005614,1,2019-01-03,11,3,-58.411121,-34.606091,moto,LEVE
51,LC-2019-0005622,1,2019-01-03,18,9,-58.5013,-34.650495,transporte_publico,LEVE
52,LC-2019-0005638,2,2019-01-03,19,5,-58.419078,-34.637644,moto,LEVE
53,LC-2019-0005647,1,2019-01-03,19,1,-58.38184,-34.596726,moto,LEVE
54,LC-2019-0005681,1,2019-01-03,18,12,-58.473539,-34.543295,moto,LEVE
55,LC-2019-0005764,1,2019-01-03,20,15,-58.495341,-34.591985,moto,LEVE
56,LC-2019-0005815,1,2019-01-03,20,10,-58.486064,-34.640477,moto,LEVE
57,LC-2019-0005979,1,2019-01-03,21,7,-58.4585,-34.615899,moto,LEVE
58,LC-2019-0007021,1,2019-01-04,10,13,-58.44917,-34.56181,ciclista,LEVE
59,LC-2019-0007536,1,2019-01-04,13,12,-58.505206,-34.567724,ciclista,LEVE
60,LC-2019-0006068,2,2019-01-04,2,3,-58.39763,-34.617325,moto,LEVE
61,LC-2019-0006306,1,2019-01-04,8,3,-58.409257,-34.620021,moto,LEVE
62,LC-2019-0006547,1,2019-01-04,2,9,-58.500852,-34.673463,moto,LEVE
63,LC-2019-0006638,2,2019-01-04,9,10,-58.496239,-34.636075,moto,LEVE
64,LC-2019-0006659,1,2019-01-04,9,12,-58.512465,-34.584012,auto,LEVE
65,LC-2019-0006789,1,2019-01-04,11,13,-58.440762,-34.551161,moto,LEVE
