,ID hecho,FECHA ,SEXO,EDAD_VICTIMA
0,LC-2019-0000053,2019-01-01,Varon,57
1,LC-2019-0000063,2019-01-01,SD,35
2,LC-2019-0000079,2019-01-01,Varon,35
3,LC-2019-0000082,2019-01-01,Varon,45
4,LC-2019-0000082,2019-01-01,Mujer,45
5,LC-2019-0000082,2019-01-01,Varon,27
6,LC-2019-0000082,2019-01-01,Mujer,32
7,LC-2019-0000136,2019-01-01,Varon,21
8,LC-2019-0000136,2019-01-01,Mujer,21
9,LC-2019-0000142,2019-01-01,Varon,37
10,LC-2019-0000179,2019-01-01,SD,35
11,LC-2019-0000194,2019-01-01,Mujer,33
12,LC-2019-0000202,2019-01-01,Varon,25
13,LC-2019-0000329,2019-01-01,Varon,23
14,LC-2019-0000347,2019-01-01,Varon,35
15,LC-2019-0000445,2019-01-01,Varon,42
16,LC-2019-0000445,2019-01-01,Mujer,42
17,LC-2019-0000445,2019-01-01,Varon,37
18,LC-2019-0000493,2019-01-01,Varon,53
19,LC-2019-0000600,2019-01-01,Mujer,1
20,LC-2019-0000636,2019-01-01,Mujer,62
21,LC-2019-0000647,2019-01-01,Varon,35
22,LC-2019-0000686,2019-01-01,Mujer,67
23,LC-2019-0005235,2019-01-01,Mujer,75
24,LC-2019-0000928,2019-01-02,Mujer,40
25,LC-2019-0000963,2019-01-02,Mujer,48
26,LC-2019-0000963,2019-01-02,Varon,48
27,LC-2019-0000963,2019-01-02,Mujer,27
28,LC-2019-0000963,2019-01-02,Mujer,3
29,LC-2019-0000963,2019-01-02,Mujer,33
30,LC-2019-0001754,2019-01-02,Mujer,49
31,LC-2019-0001879,2019-01-02,SD,35
32,LC-2019-0001948,2019-01-02,Varon,35
33,LC-2019-0547054,2019-09-01,Varon,25
34,LC-2019-0001992,2019-01-02,Varon,34
35,LC-2019-0002083,2019-01-02,Varon,27
36,LC-2019-0002208,2019-01-02,Varon,34
37,LC-2019-0002218,2019-01-02,Varon,52
38,LC-2019-0002740,2019-01-02,Varon,44
39,LC-2019-0003220,2019-01-02,Mujer,28
40,LC-2019-0003220,2019-01-02,Varon,28
41,LC-2019-0003340,2019-01-02,SD,35
42,LC-2019-0005610,2019-01-02,Varon,59
43,LC-2019-0020183,2019-01-02,Varon,50
44,LC-2019-0022496,2019-01-02,Varon,73
45,LC-2019-0003428,2019-01-03,Varon,45
46,LC-2019-0816662,2019-12-24,Varon,26
47,LC-2019-0025711,2019-01-13,Varon,32
48,LC-2019-0003642,2019-01-03,Varon,51
49,LC-2019-0003787,2019-01-03,Varon,48
50,LC-2019-0003862,2019-01-03,Mujer,37
51,LC-2019-0003862,2019-01-03,Varon,37
52,LC-2019-0003884,2019-01-03,Mujer,35
53,LC-2019-0004144,2019-01-03,Varon,16
54,LC-2019-0004229,2019-01-03,Mujer,43
55,LC-2019-0004442,2019-01-03,Mujer,38
56,LC-2019-0004442,2019-01-03,Varon,38
57,LC-2019-0004565,2019-01-03,Mujer,35
58,LC-2019-0004621,2019-01-03,Varon,35
59,LC-2019-0004622,2019-01-03,Mujer,35
60,LC-2019-0004652,2019-01-03,Varon,28
61,LC-2019-0004717,2019-01-03,Varon,45
62,LC-2019-0004718,2019-01-03,Varon,51
63,LC-2019-0005334,2019-01-03,Varon,33
64,LC-2019-0005614,2019-01-03,Varon,43
65,LC-2019-0005622,2019-01-03,Mujer,64
66,LC-2019-0005638,2019-01-03,Varon,36
67,LC-2019-0005638,2019-01-03,Mujer,36
68,LC-2019-0005647,2019-01-03,Varon,45
69,LC-2019-0005681,2019-01-03,Mujer,35
70,LC-2019-0005764,2019-01-03,Varon,84
71,LC-2019-0005815,2019-01-03,Varon,22
72,LC-2019-0005979,2019-01-03,Varon,26
73,LC-2019-0654194,2019-10-19,Varon,32
74,LC-2019-0006068,2019-01-04,Mujer,20
75,LC-2019-0006306,2019-01-04,Varon,35
76,LC-2019-0006547,2019-01-04,Varon,38
77,LC-2019-0006638,2019-01-04,Varon,37
78,LC-2019-0006638,2019-01-04,Varon,37
79,LC-2019-0006659,2019-01-04,Varon,48
80,LC-2019-0006789,2019-01-04,Mujer,5
81,LC-2019-0006837,2019-01-04,Mujer,35
82,LC-2019-0006857,2019-01-04,Mujer,35
83,LC-2019-0007002,2019-01-04,Varon,35
84,LC-2019-0007021,2019-01-04,Varon,34
85,LC-2019-0007294,2019-01-04,Varon,39
86,LC-2019-0007336,2019-01-04,Varon,35
87,LC-2019-0007536,2019-01-04,Mujer,28
88,LC-2019-0007634,2019-01-04,Varon,35
89,LC-2019-0007660,2019-01-04,Varon,23
90,LC-2019-0007701,2019-01-04,Varon,34
91,LC-2019-0007778,2019-01-04,Mujer,56
92,LC-2019-0008077,2019-01-04,Mujer,44
93,LC-2019-0008227,2019-01-04,Mujer,26
94,LC-2019-0008238,2019-01-04,Mujer,69
95,LC-2019-0008238,2019-01-04,Mujer,69
96,LC-2019-0008283,2019-01-04,Varon,26
97,LC-2019-0008283,2019-01-04,Mujer,26
98,LC-2019-0008314,2019-01-04,Mujer,55
99,LC-2019-0008367,2019-01-04,Varon,46
100,LC-2019-0008388,2019-01-04,Mujer,35
101,LC-2019-0008388,2019-01-04,Mujer,35
102,LC-2019-0008388,2019-01-04,Mujer,34
103,LC-2019-0008467,2019-01-04,Varon,29
104,LC-2019-0008493,2019-01-04,Mujer,34
105,LC-2019-0008496,2019-01-04,Varon,35
106,LC-2019-0008565,2019-01-04,Varon,34
107,LC-2019-0008566,2019-01-04,Varon,26
108,LC-2019-0011897,2019-01-04,Mujer,38
109,LC-2019-0017883,2019-01-04,Varon,53
110,LC-2019-0020135,2019-01-04,Varon,23
111,LC-2019-0020930,2019-01-04,Varon,28
112,LC-2019-0267364,2019-01-04,Varon,41
113,LC-2019-0314341,2019-05-20,Varon,56
114,LC-2019-0008603,2019-01-05,Varon,43
115,LC-2019-0008860,2019-01-05,Varon,67
116,LC-2019-0008860,2019-01-05,Varon,67
117,LC-2019-0008860,2019-01-05,Varon,40
118,LC-2019-0008916,2019-01-05,Varon,33
119,LC-2019-0008924,2019-01-05,Varon,35
120,LC-2019-0008974,2019-01-05,Mujer,29
121,LC-2019-0009068,2019-01-05,Varon,54
122,LC-2019-0009123,2019-01-05,Varon,51
123,LC-2019-0009194,2019-01-05,Varon,33
124,LC-2019-0009305,2019-01-05,Varon,42
125,LC-2019-0009312,2019-01-05,Mujer,74
126,LC-2019-0009325,2019-01-05,Varon,70
127,LC-2019-0009392,2019-01-05,Mujer,40
128,LC-2019-0009580,2019-01-05,Mujer,6
129,LC-2019-0009722,2019-01-05,Mujer,30
130,LC-2019-0025772,2019-01-13,Varon,35
131,LC-2019-0010031,2019-01-05,Varon,28
132,LC-2019-0010621,2019-01-05,Mujer,12
133,LC-2019-0012840,2019-01-05,Mujer,83
134,LC-2019-0052387,2019-01-05,Varon,27
135,LC-2019-0010050,2019-01-06,Varon,24
136,LC-2019-0010105,2019-01-06,Varon,27
137,LC-2019-0010145,2019-01-06,Mujer,35
138,LC-2019-0010228,2019-01-06,Varon,12
139,LC-2019-0010301,2019-01-06,Varon,12
140,LC-2019-0010436,2019-01-06,Varon,12
141,LC-2019-0010436,2019-01-06,Varon,12
142,LC-2019-0010649,2019-01-06,Varon,12
143,LC-2019-0010661,2019-01-06,Varon,12
144,LC-2019-0010730,2019-01-06,Mujer,12
145,LC-2019-0010814,2019-01-06,Varon,12
146,LC-2019-0010884,2019-01-06,Varon,12
147,LC-2019-0010884,2019-01-06,Mujer,12
148,LC-2019-0010983,2019-01-06,Mujer,44
149,LC-2019-0010983,2019-01-06,Mujer,44
150,LC-2019-0011004,2019-01-07,Varon,70
151,LC-2019-0011053,2019-01-07,Varon,29
152,LC-2019-0011092,2019-01-07,Varon,64
153,LC-2019-0011335,2019-01-07,Varon,27
154,LC-2019-0011431,2019-01-07,Varon,68
155,LC-2019-0153972,2019-03-13,Varon,49
156,LC-2019-0011575,2019-01-07,Varon,21
157,LC-2019-0153972,2019-03-13,Varon,35
158,LC-2019-0011908,2019-01-07,Varon,15
159,LC-2019-0012172,2019-01-07,Varon,22
160,LC-2019-0012293,2019-01-07,Varon,22
161,LC-2019-0012508,2019-01-07,Varon,22
162,LC-2019-0012578,2019-01-07,Mujer,74
163,LC-2019-0012580,2019-01-07,Varon,38
164,LC-2019-0012638,2019-01-07,Varon,34
165,LC-2019-0082237,2019-02-08,Varon,31
166,LC-2019-0012823,2019-01-07,Varon,19
167,LC-2019-0013193,2019-01-07,Varon,27
168,LC-2019-0013235,2019-01-07,Varon,45
169,LC-2019-0463737,2019-07-26,Varon,30
170,LC-2019-0013370,2019-01-07,Varon,30
171,LC-2019-0013412,2019-01-07,Mujer,9
172,LC-2019-0013412,2019-01-07,Varon,9
173,LC-2019-0013440,2019-01-07,Mujer,49
174,LC-2019-0013452,2019-01-07,Varon,39
175,LC-2019-0013589,2019-01-07,Varon,75
176,LC-2019-0013652,2019-01-07,Mujer,35
177,LC-2019-0013652,2019-01-07,Mujer,35
178,LC-2019-0013652,2019-01-07,Mujer,2
179,LC-2019-0013652,2019-01-07,Varon,26
180,LC-2019-0013857,2019-01-07,Varon,13
