,BARRIO,COMUNA
0,AGRONOMIA,15
1,ALMAGRO,5
2,BALVANERA,3
3,BARRACAS,4
4,BELGRANO,13
5,BOCA,4
6,BOEDO,5
7,CABALLITO,6
8,CHACARITA,15
9,COGHLAN,12
10,COLEGIALES,13
11,CONSTITUCION,1
12,FLORES,7
13,FLORESTA,10
14,LINIERS,9
15,MATADEROS,9
16,MONSERRAT,1
17,MONTE CASTRO,10
18,NUEVA POMPEYA,4
19,NUÑEZ,13
20,PALERMO,14
21,PARQUE AVELLANEDA,9
22,PARQUE CHACABUCO,7
23,PARQUE CHAS,15
24,PARQUE PATRICIOS,4
25,PATERNAL,15
26,PUERTO MADERO,1
27,RECOLETA,2
28,RETIRO,1
29,SAAVEDRA,12
30,SAN CRISTOBAL,3
31,SAN NICOLAS,1
32,SAN TELMO,1
33,VELEZ SARSFIELD,10
34,VERSALLES,10
35,VILLA CRESPO,15
36,VILLA DEL PARQUE,11
37,VILLA DEVOTO,11
38,VILLA GRAL. MITRE,11
39,VILLA LUGANO,8
40,VILLA LURO,10
41,VILLA ORTUZAR,15
42,VILLA PUEYRREDON,12
43,VILLA REAL,10
44,VILLA RIACHUELO,8
45,VILLA SANTA RITA,11
46,VILLA SOLDATI,8
47,VILLA URQUIZA,12
