,ID,Cantidad de victimas,Fecha,HH,Tipo De Calle,Comuna,Long,Lat,Vehiculo Acusado,ROL,Vehiculo Victima,Sexo,Edad
0,2016-0001,1,2016-01-01,4,AVENIDA,8,-58.47533969,-34.68757022,AUTO,CONDUCTOR,MOTO,MASCULINO,19
1,2016-0002,1,2016-01-02,1,GRAL PAZ,9,-58.50877521,-34.66977709,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,70
2,2016-0003,1,2016-01-03,7,AVENIDA,1,-58.39040293,-34.63189362,AUTO,CONDUCTOR,MOTO,MASCULINO,30
3,2016-0004,1,2016-01-10,0,AVENIDA,8,-58.46503904,-34.68092974,SD,CONDUCTOR,MOTO,MASCULINO,18
4,2016-0005,1,2016-01-21,5,AVENIDA,1,-58.38718297,-34.6224663,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29
5,2016-0008,1,2016-01-24,18,AVENIDA,8,-58.44451316,-34.68475866,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30
6,2016-0009,1,2016-01-24,19,CALLE,11,-58.50095869,-34.6082544,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
7,2016-0010,1,2016-01-29,15,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,CONDUCTOR,MOTO,MASCULINO,18
8,2016-0012,1,2016-02-08,1,AVENIDA,1,-58.38048577,-34.61303893,CARGAS,CONDUCTOR,MOTO,MASCULINO,22
9,2016-0013,1,2016-02-10,11,AVENIDA,1,-58.39114932,-34.62477387,AUTO,PEATON,PEATON,MASCULINO,16
10,2016-0015,1,2016-02-14,5,AVENIDA,15,-58.4376002,-34.59912758,AUTO,PEATON,PEATON,FEMENINO,16
11,2016-0016,1,2016-02-14,22,AVENIDA,4,-58.36882665,-34.64291993,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
12,2016-0017,1,2016-02-15,16,AVENIDA,8,-58.44989671,-34.65970435,MOTO,PEATON,PEATON,MASCULINO,59
13,2016-0019,1,2016-02-17,9,CALLE,9,-58.50990884,-34.65468721,PASAJEROS,PEATON,PEATON,FEMENINO,65
14,2016-0020,1,2016-02-17,16,CALLE,1,-58.37952223,-34.60653282,AUTO,PEATON,PEATON,MASCULINO,59
15,2016-0021,1,2016-02-17,23,AVENIDA,7,-58.45157703,-34.63063795,AUTO,CONDUCTOR,AUTO,MASCULINO,34
16,2016-0022,1,2016-02-21,6,AVENIDA,1,-58.38144696,-34.61079875,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
17,2016-0025,1,2016-02-28,4,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
18,2016-0026,1,2016-02-28,7,CALLE,12,-58.49216191,-34.54738649,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,30
19,2016-0027,1,2016-02-28,9,AVENIDA,7,-58.44497874,-34.63852623,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
20,2016-0028,1,2016-03-02,10,AVENIDA,1,-58.38199706,-34.60028648,CARGAS,PEATON,PEATON,MASCULINO,50
21,2016-0029,1,2016-03-04,17,AVENIDA,12,-58.47378664,-34.54153077,PASAJEROS,PEATON,PEATON,MASCULINO,38
22,2016-0031,1,2016-03-08,12,GRAL PAZ,8,-58.47064556,-34.69843756,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21
23,2016-0034,1,2016-03-12,12,AVENIDA,4,-58.40623949,-34.65076549,PASAJEROS,PEATON,PEATON,MASCULINO,52
24,2016-0035,1,2016-03-13,6,AVENIDA,3,-58.39228965,-34.60443527,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,34
25,2016-0036,1,2016-03-14,0,CALLE,4,-58.37813396,-34.63668504,PASAJEROS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
26,2016-0037,1,2016-03-19,11,AVENIDA,7,-58.46275892,-34.64358293,MOTO,CONDUCTOR,MOTO,MASCULINO,20
27,2016-0038,1,2016-03-21,8,GRAL PAZ,8,-58.49683458,-34.67892743,PASAJEROS,PEATON,PEATON,MASCULINO,29
28,2016-0039,1,2016-03-23,1,AVENIDA,3,-58.40603217,-34.6088396,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,20
29,2016-0041,2,2016-03-29,11,AVENIDA,7,-58.4607655,-34.63350444,CARGAS,CONDUCTOR,MOTO,MASCULINO,54
30,2016-0041,2,2016-03-29,11,AVENIDA,7,-58.4607655,-34.63350444,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0
